numero_conteneur,numero_plombage,bruit_fond_debit_nsvh,bruit_fond_cps,interieur_conteneur_debit_nsvh,interieur_conteneur_cps,exterieur_conteneur_debit_nsvh,exterieur_conteneur_cps,apres_plombage_conteneur_debit_nsvh,apres_plombage_conteneur_cps,dose_gamma_chargement_debit_nsvh,dose_gamma_chargement_cps,contamination
CT4061,PL743294,34.54,1.47,35.29,1.48,33.94,1.4,35.14,1.58,87.68,1.05,1
CT0714,PL525523,61.32,1.4,57.79,1.34,59.51,1.45,62.84,1.56,85.94,1.24,1
CT2698,PL628646,88.37,0.4,90.6,0.43,90.94,0.42,86.81,0.45,36.42,0.82,0
CT0161,PL314020,70.32,0.57,71.29,0.55,69.71,0.48,67.16,0.6,34.34,1.52,0
CT4108,PL907744,34.4,1.85,39.71,1.74,35.63,1.94,36.72,1.78,47.37,0.58,1
CT0750,PL827952,58.1,1.16,54.45,1.13,55.68,1.23,57.2,1.2,67.25,1.75,1
CT4481,PL913349,34.81,1.94,36.45,1.77,35.81,1.94,33.98,2.19,71.26,1.26,1
CT3422,PL855678,53.18,1.49,54.01,1.47,57.41,1.38,51.61,1.45,54.55,0.48,0
CT2469,PL881725,72.33,1.66,72.05,1.76,71.05,1.56,74.15,1.49,32.71,0.43,0
CT2791,PL118752,84.37,0.4,84.37,0.29,84.55,0.5,84.63,0.5,56.24,0.66,0
CT1730,PL564071,82.28,1.66,80.18,1.76,85.01,1.58,81.14,1.62,63.14,0.93,0
CT2789,PL293783,30.14,0.58,33.11,0.74,27.74,0.57,27.55,0.48,52.49,1.12,1
CT3702,PL443701,66.33,1.72,66.45,1.61,64.01,1.77,63.77,1.77,60.48,1.11,0
CT4104,PL569924,72.55,1.79,74.9,1.73,73.91,1.8,75.37,1.79,84.78,0.56,1
CT2168,PL817406,57.45,1.31,58.3,1.19,59.1,1.3,59.05,1.42,74.39,1.27,1
CT0402,PL979611,51.0,1.41,54.83,1.45,53.35,1.29,50.03,1.52,66.89,0.65,1
CT2862,PL286321,50.97,1.63,52.76,1.64,47.4,1.57,52.18,1.58,60.03,1.28,1
CT4785,PL671441,37.61,0.55,37.62,0.5,37.09,0.73,32.41,0.71,66.9,0.71,1
CT1632,PL672212,72.89,0.84,74.64,0.91,71.52,0.58,72.19,0.57,81.62,1.09,1
CT3256,PL845182,57.0,1.31,58.49,1.22,57.31,1.47,56.24,1.19,63.93,1.58,0
CT4516,PL948800,61.63,1.09,59.12,1.28,60.14,1.15,59.9,1.01,89.38,1.1,1
CT1040,PL526650,44.1,0.82,46.35,0.85,42.71,0.84,38.27,0.9,72.81,1.38,1
CT0718,PL239407,66.02,0.79,67.79,0.91,68.37,0.72,61.23,0.75,37.88,1.33,0
CT0368,PL190272,37.64,0.59,41.2,0.74,40.24,0.67,35.28,0.59,77.74,0.73,1
CT4422,PL609492,41.3,0.57,42.62,0.61,42.42,0.61,40.41,0.63,68.54,1.9,1
CT0641,PL365517,39.36,1.93,37.12,1.91,40.42,1.86,36.65,2.04,88.39,0.75,1
CT0878,PL417428,51.69,0.66,49.86,0.69,53.87,0.68,53.74,0.67,43.77,1.59,0
CT0754,PL383821,46.71,1.89,47.07,1.75,48.49,1.77,47.5,1.99,61.01,0.81,1
CT2520,PL117772,81.0,0.85,81.95,0.84,84.83,0.79,82.31,0.86,71.6,1.14,0
CT4742,PL350541,83.43,0.44,82.24,0.27,84.33,0.31,85.44,0.47,63.02,1.31,0
CT4525,PL639660,80.58,0.88,79.15,0.84,77.68,0.87,84.32,0.79,76.49,1.74,0
CT3446,PL351351,56.85,0.57,55.1,0.51,53.63,0.47,57.91,0.65,73.91,0.49,1
CT2034,PL805552,89.15,0.49,89.38,0.37,89.62,0.5,87.98,0.58,37.46,1.17,0
CT0373,PL759347,54.27,1.55,55.65,1.61,51.1,1.47,53.45,1.6,34.85,1.92,0
CT2406,PL618477,62.84,1.06,58.85,0.96,64.13,1.15,65.09,1.07,82.65,1.58,1
CT1805,PL541759,69.65,1.15,70.21,1.19,64.57,1.13,69.17,1.24,61.03,0.78,0
CT4357,PL220356,32.91,0.64,28.96,0.62,33.54,0.74,31.21,0.6,69.82,1.49,1
CT2386,PL994235,41.33,1.64,41.49,1.63,44.1,1.6,41.27,1.66,87.2,0.42,1
CT0100,PL363160,41.21,0.45,39.58,0.43,41.37,0.52,44.41,0.46,40.73,1.25,0
CT0440,PL465890,65.99,1.08,67.33,0.96,65.38,1.09,65.56,0.98,89.2,1.81,1
CT0308,PL757162,81.78,1.96,82.13,1.88,82.65,1.97,82.98,2.0,75.42,1.38,0
CT1097,PL904462,54.46,1.02,58.25,1.04,55.46,1.11,56.01,1.06,50.08,1.97,0
CT1226,PL105287,32.55,1.67,35.06,1.55,33.96,1.4,32.77,1.51,55.88,1.12,1
CT1807,PL982554,48.69,1.56,50.63,1.67,47.62,1.54,49.04,1.57,34.58,1.56,0
CT4262,PL260761,50.78,0.93,47.73,1.01,53.47,0.91,51.79,1.04,39.86,1.61,0
CT0168,PL318969,56.95,1.23,55.31,1.3,58.5,1.17,55.49,1.11,34.91,1.85,0
CT0272,PL209751,30.48,0.36,27.15,0.35,31.27,0.36,31.16,0.42,78.8,1.73,1
CT0809,PL161629,80.97,1.84,81.91,1.87,83.76,1.84,81.09,1.84,57.35,1.05,0
CT1419,PL568276,30.77,1.84,29.56,1.82,29.13,2.0,28.1,1.81,54.8,1.5,1
CT4133,PL607365,31.08,1.66,33.55,1.69,32.25,1.67,27.75,1.8,84.3,1.41,1
CT4351,PL616637,49.55,1.4,47.67,1.17,46.05,1.39,48.03,1.56,46.36,1.88,0
CT0966,PL910717,43.21,0.61,41.1,0.53,45.34,0.65,41.75,0.71,52.0,0.79,1
CT4228,PL906651,89.05,1.68,88.24,1.66,92.74,1.79,88.7,1.59,75.93,1.27,0
CT3367,PL153072,67.32,0.43,65.41,0.54,66.18,0.33,67.98,0.75,56.6,0.38,0
CT3326,PL176256,39.55,1.12,35.92,1.1,38.27,1.22,40.71,1.12,63.82,0.82,1
CT4498,PL499009,49.96,1.48,51.96,1.69,49.76,1.45,49.3,1.56,72.62,1.97,1
CT1572,PL997928,41.93,0.62,42.16,0.7,41.46,0.61,40.34,0.48,71.79,1.67,1
CT0837,PL375987,44.97,1.61,45.1,1.51,45.9,1.51,42.41,1.5,58.26,0.94,1
CT1559,PL123236,64.31,1.73,63.85,1.63,64.35,1.62,63.68,1.64,67.71,1.64,0
CT3010,PL769416,72.89,1.12,67.98,1.14,72.33,1.13,72.36,1.09,85.29,1.83,1
CT1150,PL962522,41.7,1.31,41.77,1.29,42.19,1.46,42.4,1.39,60.97,1.73,1
CT0359,PL907789,43.31,1.7,44.73,1.5,39.58,1.73,43.78,1.74,34.61,0.49,0
CT3224,PL484865,48.81,1.9,46.08,2.05,49.13,2.05,48.31,2.01,74.97,1.61,1
CT2747,PL351051,75.55,1.25,75.26,1.21,73.84,1.3,77.02,1.41,44.1,1.06,0
CT1916,PL591036,65.53,1.81,63.06,1.82,64.45,1.82,62.43,1.83,40.52,1.76,0
CT1098,PL969270,37.53,0.63,38.18,0.52,37.56,0.65,38.33,0.83,49.91,1.08,1
CT0884,PL265421,71.98,0.94,72.56,1.18,72.04,0.81,72.61,0.93,82.29,1.24,1
CT3717,PL765847,34.27,0.81,39.02,0.84,34.49,0.82,32.83,0.71,72.78,1.64,1
CT0945,PL301152,71.6,1.08,70.06,0.91,72.03,1.04,72.44,1.23,87.01,0.88,1
CT4372,PL121281,36.27,1.55,33.35,1.63,35.29,1.6,32.95,1.34,61.11,0.69,1
CT0089,PL538974,48.99,1.52,50.02,1.62,49.3,1.55,48.2,1.69,66.42,1.51,1
CT0388,PL573125,57.03,1.51,58.71,1.51,54.58,1.61,60.14,1.73,53.23,0.79,0
CT0087,PL271829,70.63,0.79,69.83,0.87,72.21,0.94,72.48,0.69,35.36,1.66,0
CT3690,PL642387,56.78,1.87,60.19,1.91,58.21,1.8,57.02,1.94,76.86,0.37,1
CT1972,PL620547,58.28,1.28,56.01,1.25,59.72,1.35,59.41,1.3,87.23,0.65,1
CT1231,PL208872,37.58,1.24,38.94,1.48,38.55,1.26,40.88,1.12,50.13,0.77,1
CT2548,PL594509,81.97,1.31,82.46,1.24,80.14,1.22,86.01,1.33,78.49,1.85,0
CT1991,PL529725,53.84,1.04,53.26,0.97,53.83,1.04,56.01,1.05,57.05,1.12,0
CT4887,PL103696,81.35,0.81,78.91,0.77,82.84,0.6,82.39,0.79,56.26,1.67,0
CT4913,PL658969,72.92,0.84,72.18,0.9,70.81,0.9,73.87,0.53,41.84,1.99,0
CT3593,PL271918,80.47,1.2,78.16,1.24,79.57,1.23,80.0,1.33,30.41,1.85,0
CT4988,PL149976,53.95,1.01,50.99,1.0,53.11,0.93,53.46,0.97,46.04,0.53,0
CT0097,PL664685,67.68,1.71,69.43,1.6,67.71,1.62,67.27,1.58,66.16,0.66,0
CT1831,PL841040,44.07,1.06,41.73,1.12,42.85,1.05,41.61,1.04,87.35,1.72,1
CT1917,PL427304,72.06,1.3,69.78,1.35,70.86,1.32,74.0,1.32,48.35,1.17,0
CT4186,PL652004,49.21,0.93,49.41,0.8,45.86,0.76,48.16,0.85,88.87,0.96,1
CT0528,PL834994,82.1,1.55,81.27,1.56,84.53,1.57,84.04,1.5,86.69,1.79,0
CT1127,PL499384,40.14,1.31,41.27,1.35,36.98,1.21,42.46,1.4,85.83,1.92,1
CT0521,PL333841,34.16,1.53,34.83,1.57,35.15,1.42,35.93,1.6,60.97,0.99,1
CT3397,PL930051,30.81,1.91,31.39,2.01,28.44,1.78,30.59,2.08,79.31,0.7,1
CT0039,PL249503,88.35,1.45,89.37,1.56,91.07,1.27,88.67,1.47,58.21,1.93,0
CT2317,PL667873,64.63,1.46,66.52,1.48,60.06,1.47,67.43,1.62,86.84,1.34,1
CT4786,PL208042,57.72,0.77,57.36,0.74,58.5,0.84,55.11,0.95,81.22,1.32,1
CT4800,PL901881,35.52,1.03,34.28,1.05,34.17,0.85,36.54,0.86,69.7,1.35,1
CT0938,PL606964,85.69,1.99,86.42,1.9,87.46,1.94,85.86,2.05,37.24,0.72,0
CT2842,PL880965,46.5,0.89,44.78,0.78,46.35,0.63,42.48,1.08,35.39,0.75,0
CT3413,PL979005,34.6,1.48,36.7,1.48,30.4,1.55,37.46,1.63,68.05,1.39,1
CT2430,PL859034,67.51,1.02,70.21,0.99,65.44,1.01,67.92,1.02,74.52,0.87,0
CT3813,PL237888,74.74,0.46,77.4,0.39,74.95,0.44,73.03,0.32,60.83,1.28,0
CT1897,PL474999,40.31,0.78,37.84,0.72,41.87,0.66,42.9,0.91,85.1,1.71,1
CT1239,PL707812,47.3,1.73,46.57,1.54,47.6,1.73,47.17,1.71,77.81,0.44,1
CT4401,PL337199,56.51,1.71,57.85,1.53,57.15,1.7,59.37,1.75,53.22,1.76,0
CT3318,PL869727,34.22,0.38,35.35,0.32,36.4,0.5,35.87,0.43,48.58,1.89,1
CT3766,PL901469,66.45,0.64,64.91,0.57,65.1,0.69,67.38,0.67,86.37,1.61,1
CT0529,PL128251,52.75,1.46,55.87,1.42,52.17,1.37,52.45,1.26,83.21,1.97,1
CT0428,PL165726,66.32,0.91,70.01,0.76,65.8,0.92,62.93,1.0,55.67,0.83,0
CT2874,PL393199,32.77,0.95,33.71,0.96,33.65,0.85,33.25,0.81,69.95,0.49,1
CT0471,PL580761,39.04,0.89,39.5,0.97,40.11,0.96,41.13,0.76,78.97,0.48,1
CT2963,PL955684,34.16,1.98,36.9,1.81,29.99,2.0,34.58,2.03,57.22,1.72,1
CT4724,PL844748,80.27,0.52,76.82,0.29,78.83,0.51,80.34,0.62,34.08,1.7,0
CT3131,PL925146,32.67,1.81,32.94,1.97,33.11,1.71,31.07,1.9,75.46,1.27,1
CT2211,PL778758,35.74,1.98,33.13,2.01,38.17,1.96,32.24,1.78,57.21,0.77,1
CT0733,PL252617,30.39,1.26,34.19,1.37,33.87,1.14,33.32,1.2,51.26,1.41,1
CT0342,PL421184,71.8,1.53,74.31,1.58,70.26,1.51,70.84,1.52,89.15,1.18,1
CT3965,PL705842,47.09,0.76,48.45,0.82,47.16,0.73,46.91,0.67,85.54,0.37,1
CT4508,PL279767,41.58,1.53,44.15,1.41,40.5,1.59,45.83,1.4,43.89,0.62,0
CT3638,PL494341,44.44,0.56,48.22,0.46,46.96,0.53,45.04,0.62,46.03,1.13,0
CT3050,PL654399,36.95,1.44,36.72,1.43,38.7,1.47,34.64,1.44,78.35,0.98,1
CT3649,PL595384,46.99,0.88,42.49,0.78,46.95,0.97,52.43,0.79,88.44,1.17,1
CT2493,PL660347,63.02,1.02,65.16,1.15,61.84,1.12,62.35,0.93,62.22,0.94,0
CT4201,PL226060,42.72,1.63,43.41,1.72,41.45,1.67,43.05,1.78,65.7,1.64,1
CT1642,PL490719,49.97,0.91,50.87,1.1,49.96,0.83,52.2,0.97,51.87,0.55,0
CT1542,PL868734,52.33,0.82,51.74,0.78,51.51,0.64,51.26,0.84,77.69,1.82,1
CT0912,PL369114,39.5,0.85,37.1,1.06,40.33,0.75,40.41,0.93,85.43,1.3,1
CT2323,PL800601,46.94,1.42,49.76,1.46,44.2,1.55,47.08,1.27,42.55,1.55,0
CT2832,PL689738,38.44,0.43,39.9,0.39,40.5,0.63,39.75,0.46,89.88,0.48,1
CT4121,PL867454,78.53,1.93,79.6,2.0,78.38,1.99,80.78,1.99,53.87,0.36,0
CT2709,PL544717,70.3,1.89,67.63,1.69,72.99,1.92,70.4,1.81,80.25,0.68,1
CT1210,PL382762,89.49,0.77,87.67,0.78,90.68,0.78,91.87,0.81,34.38,0.79,0
CT2826,PL136035,33.28,1.15,36.05,1.27,35.45,1.11,30.8,1.21,61.02,1.33,1
CT4004,PL387139,68.91,1.37,63.55,1.25,67.19,1.35,68.71,1.37,66.11,0.56,0
CT2217,PL955009,33.83,1.73,33.83,1.61,32.09,1.64,27.88,1.78,57.96,1.25,1
CT3834,PL217886,81.21,1.99,81.32,2.09,80.92,2.08,81.82,2.07,62.87,1.77,0
CT2699,PL427252,88.98,0.86,87.27,0.89,90.96,0.74,87.88,0.86,86.58,0.88,0
CT2986,PL200689,45.02,0.86,45.06,0.75,44.42,0.95,48.21,0.9,85.32,0.95,1
CT1740,PL137641,48.43,1.23,45.35,1.33,50.31,1.31,49.56,1.18,68.62,1.3,1
CT3994,PL952694,75.77,1.02,77.58,0.99,76.84,0.97,76.44,1.05,65.49,0.95,0
CT2061,PL882239,47.98,1.29,50.8,1.22,47.34,1.34,46.37,1.31,74.24,1.69,1
CT0632,PL599522,83.89,0.57,86.04,0.63,84.46,0.47,83.98,0.4,34.5,1.56,0
CT3791,PL569164,31.49,1.13,29.24,1.3,32.96,1.1,28.94,1.19,71.02,1.74,1
CT0792,PL186188,41.54,1.39,43.65,1.47,42.9,1.3,39.71,1.4,52.1,0.62,1
CT4162,PL808521,31.17,1.05,33.72,1.16,33.31,1.1,32.16,0.94,74.08,1.1,1
CT0835,PL715650,57.74,0.41,60.18,0.31,57.31,0.36,57.13,0.52,44.95,1.81,0
CT0694,PL954882,81.26,1.8,78.79,1.97,81.44,1.83,79.44,1.92,53.1,1.58,0
CT2535,PL659931,34.14,0.79,36.04,0.87,33.15,0.86,33.47,0.71,86.32,0.46,1
CT2019,PL580488,35.23,1.63,35.22,1.63,33.16,1.71,36.14,1.78,62.18,0.57,1
CT1392,PL820670,49.15,0.78,49.57,0.79,47.42,0.79,50.55,0.92,60.36,1.65,1
CT2112,PL338360,48.38,1.9,50.19,1.79,45.81,1.96,45.48,1.74,56.2,1.35,1
CT4876,PL298784,53.98,1.49,52.92,1.5,52.61,1.55,55.82,1.53,49.99,1.62,0
CT0963,PL960395,31.75,0.52,31.21,0.55,34.9,0.58,32.58,0.59,64.87,0.9,1
CT1411,PL594592,89.74,1.37,88.43,1.52,89.86,1.54,92.94,1.42,79.96,1.09,0
CT3382,PL623156,87.87,1.14,86.81,1.33,89.44,1.1,87.33,1.07,57.89,1.36,0
CT2546,PL553449,60.55,0.8,60.46,0.8,56.86,0.85,58.39,0.85,62.71,1.53,0
CT1128,PL732387,51.11,1.51,52.33,1.41,49.62,1.4,53.04,1.33,77.95,1.29,1
CT0644,PL979090,48.22,0.63,46.06,0.64,46.49,0.69,47.55,0.67,53.18,1.44,0
CT3623,PL495807,49.57,1.64,46.08,1.74,46.94,1.67,49.66,1.73,58.96,0.58,1
CT0255,PL452228,58.17,0.51,55.05,0.39,57.72,0.58,56.72,0.39,40.76,0.79,0
CT4566,PL126654,81.23,1.02,80.02,0.89,83.0,0.92,80.28,0.99,35.01,0.99,0
CT2896,PL325371,35.55,0.46,34.66,0.46,35.29,0.43,39.05,0.48,37.13,1.24,0
CT0621,PL821747,39.33,0.52,37.78,0.59,39.55,0.52,39.2,0.46,48.5,1.42,1
CT3841,PL675919,36.85,0.42,35.77,0.48,37.52,0.51,37.25,0.34,74.18,1.37,1
CT2302,PL912395,69.22,1.48,66.59,1.45,72.34,1.51,69.23,1.54,64.88,1.44,0
CT2911,PL323894,58.99,0.58,58.05,0.66,53.46,0.71,59.85,0.68,85.07,1.43,1
CT1235,PL722117,59.94,1.4,61.94,1.23,59.97,1.33,61.37,1.31,61.89,1.54,0
CT0724,PL449652,41.97,1.96,41.61,2.11,41.89,1.75,42.39,1.94,33.45,1.54,0
CT3000,PL391444,58.1,0.66,61.09,0.56,60.68,0.67,58.58,0.68,70.85,1.93,1
CT0468,PL897079,77.2,1.18,79.23,1.08,77.01,1.11,77.31,1.26,41.02,0.66,0
CT4448,PL207507,73.0,1.66,74.49,1.6,73.64,1.68,72.48,1.59,31.61,1.75,0
CT2102,PL787556,77.34,1.34,80.41,1.28,77.83,1.32,77.47,1.39,84.47,1.38,0
CT3842,PL109885,61.1,1.06,60.0,1.18,63.77,0.94,59.85,1.2,51.93,0.48,0
CT0043,PL552366,35.89,1.5,36.89,1.54,39.69,1.55,33.17,1.55,81.18,1.48,1
CT1352,PL332050,89.15,1.07,90.83,1.06,89.03,1.11,89.57,1.09,53.52,1.49,0
CT0266,PL781669,86.55,1.97,83.63,2.0,88.86,1.85,85.54,1.82,89.73,1.44,0
CT2233,PL715115,74.77,1.78,72.79,1.78,76.9,1.7,74.42,1.68,59.93,1.49,0
CT4873,PL518458,68.31,0.36,66.55,0.27,65.78,0.32,65.42,0.44,46.72,1.35,0
CT0788,PL849074,32.49,1.86,31.76,1.85,28.74,1.91,35.44,1.95,43.41,0.72,1
CT1084,PL239789,82.24,1.38,82.76,1.29,79.99,1.29,77.87,1.48,59.31,1.88,0
CT0312,PL474705,62.48,0.63,61.71,0.86,63.95,0.62,61.86,0.69,43.83,0.51,0
CT4882,PL633459,87.28,0.63,87.29,0.51,88.91,0.61,87.89,0.7,58.76,1.53,0
CT3562,PL775714,56.95,0.61,54.31,0.6,57.72,0.58,56.82,0.73,65.21,1.22,1
CT4445,PL262993,34.56,1.17,33.66,1.04,31.31,1.21,32.84,1.35,87.03,1.51,1
CT1613,PL288456,48.96,1.72,49.98,1.77,47.29,1.64,46.4,1.88,31.83,1.65,0
CT0832,PL831899,36.89,0.82,39.31,0.99,32.45,0.88,38.84,0.91,67.25,0.7,1
CT4367,PL456898,55.9,1.7,53.9,1.73,56.51,1.71,55.08,1.6,89.02,1.14,1
CT4076,PL816409,82.64,1.95,77.6,1.92,80.97,1.83,80.98,1.86,48.65,1.98,0
CT2808,PL218413,79.1,1.31,79.46,1.4,76.91,1.34,78.25,1.23,45.69,1.98,0
CT2813,PL224481,36.43,1.99,35.69,1.98,33.48,2.19,32.87,1.97,58.85,1.83,1
CT0417,PL787995,70.65,1.51,66.73,1.62,70.32,1.39,72.81,1.48,34.71,0.5,0
CT4947,PL382844,54.47,0.84,56.41,0.93,53.98,0.97,55.61,0.63,59.12,1.02,0
CT2684,PL192578,84.83,1.17,85.84,1.11,84.36,1.21,87.26,1.12,40.17,0.46,0
CT2460,PL730111,30.82,0.56,32.82,0.59,29.65,0.47,33.48,0.56,75.52,1.4,1
CT4488,PL879128,31.1,0.37,30.66,0.52,27.68,0.28,31.72,0.4,78.99,1.55,1
CT1753,PL386214,77.58,0.95,75.73,0.87,78.33,0.75,79.67,0.82,48.12,1.62,0
CT0743,PL631089,58.54,1.18,57.32,1.28,59.21,1.07,57.22,1.14,75.18,0.92,1
CT4817,PL890074,55.29,0.56,54.93,0.57,56.17,0.54,58.65,0.38,62.2,1.86,0
CT2189,PL567535,53.6,0.8,53.69,0.94,50.78,1.04,54.0,0.9,44.3,1.15,0
